,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/0/temperature/0,/hdd/0/factor/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/4/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Temperature","Used Space","Used Space"
10/23/2022 11:45:33,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,39,33.5,118,30,112,111,111,1197.87048,21.875,28.125,9.375,18.75,19.53125,37,39,38,38,39,2100.00122,2100.00122,3300.002,3300.002,14.9443026,2.21917868,0.9527259,0.486411244,100.000061,53.07844,8.422958,7.44593048,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,17.0360012,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:38,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.45600003,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,33.5,118,30,112,111,111,1175.95813,20.3125,12.5,20.3125,28.125,20.3125,38,46,38,38,46,3300.00342,3300.00342,3300.00342,3300.00342,16.6360664,3.88320041,0.9960359,0.435388744,100.0001,53.186348,8.440083,7.4288063,33,300,405.000031,0,0,0,0,0,29,1018,8192,209.03125,7982.96875,2.551651,16.59,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:43,61.9607849,33.72549,49.80392,49.80392,49.80392,49.80392,0.496000022,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,42,34,118,30,112,111,111,1352.70544,14.0625,25,32.8125,17.1875,22.265625,39,44,39,42,42,3300.00269,3300.00269,3300.00269,3300.00269,20.6345081,7.650667,1.19633782,0.581753135,100.000084,54.19646,8.600376,7.26851273,33,300,405.000031,0,0,0,0,0,29,1022,8192,209.03125,7982.96875,2.551651,16.812,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:48,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.488000035,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,42,34,118,30,112,111,111,1226.15808,34.375,35.9375,31.25,35.9375,34.375,45,41,39,39,45,3300.00171,3300.00171,3400.00171,3300.00171,19.9378929,6.962145,1.17125809,0.7236154,100.000046,53.5451775,8.497025,7.37186432,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.7860012,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:53,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.448,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,41,34,118,30,112,111,111,1215.12146,26.5625,23.4375,26.5625,23.4375,25,39,40,38,37,40,1500.00073,3000.00146,3300.00171,3400.00171,17.7039375,4.890809,1.04486716,0.57400924,100.000046,53.44854,8.481689,7.3871994,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,17.17,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:45:58,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,119,30,112,111,111,1266.4165,14.0625,14.0625,15.625,10.9375,13.671875,37,40,39,37,40,1300.00122,2100.002,2100.002,2100.002,14.9806423,2.301596,0.9219409,0.436776131,100.000092,53.4562569,8.482914,7.385975,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,17.019001,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:03,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,118,30,112,111,111,1235.13269,21.53846,26.1538448,19.9999981,24.6153831,23.0769215,37,40,38,39,40,800.000366,1800.00073,1800.00073,2900.00122,14.4435511,1.77900839,0.906260669,0.44778,100.000046,53.80713,8.538593,7.33029556,33,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,17.012001,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:08,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,119,30,112,111,111,1228.3894,14.0625,25,23.4375,26.5625,22.265625,37,40,38,38,40,799.9998,799.9998,1999.99951,1999.99951,15.5390511,2.84553576,0.9450346,0.466325253,99.99998,53.76448,8.531826,7.337063,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.974,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:13,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,118,30,112,111,111,1243.09387,19.9999981,23.0769215,24.6153831,18.4615364,21.53846,43,40,38,40,43,3000,3000,3000,3000,15.5211964,2.81100655,0.9486004,0.454294771,100,53.71244,8.523567,7.34532166,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,17.1010017,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:18,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.496000022,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,44,34,119,30,112,111,111,1239.66943,56.25,48.4375,54.6875,48.4375,51.953125,45,44,45,46,45,3299.99976,3299.99976,3299.99976,3299.99976,23.9084587,11.0385771,1.02350259,0.958907545,99.99999,49.80269,7.90313339,7.96575546,32,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,16.8240013,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:23,64.70589,36.47059,49.80392,49.80392,49.80392,49.80392,0.488000035,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,46,34,118,30,112,111,111,1289.39832,34.375,50,53.125,51.5625,47.265625,43,48,44,43,48,3300.00122,3300.00122,3300.00122,3300.00122,25.68103,12.7415361,1.13628983,0.7659169,100.000038,49.7896347,7.901062,7.967827,33,300,405.000031,0,0,0,0,0,29,1023,8192,209.03125,7982.96875,2.551651,16.9070015,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:28,67.84314,39.6078453,49.80392,49.80392,49.80392,49.80392,0.488000035,1.016,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,50,34.5,118,30,112,111,111,1352.70544,100,100,100,98.46154,99.61539,45,51,47,49,51,3300.0022,3300.0022,3300.0022,3300.0022,33.733,20.8060589,1.00952876,1.37079358,100.000069,52.8208351,8.38208,7.486809,33,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,16.8650017,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:33,61.9607849,32.9411774,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,42,34.5,118,30,112,111,111,1243.09387,30.6451626,30.6451626,29.03226,22.5806465,28.22581,39,42,41,39,42,2300.001,2300.001,2300.001,2300.001,15.5344009,2.73446345,1.01553512,0.584324837,100.000038,54.1278534,8.589489,7.2794,33,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,16.982,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:38,64.70589,36.47059,49.80392,49.80392,49.80392,49.80392,0.448,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,43,34.5,118,30,112,111,111,1279.62085,23.4375,31.25,31.25,28.125,28.515625,40,42,41,39,42,1500.0022,1500.0022,1500.0022,1500.0022,20.0639725,6.98372364,1.26747859,0.7309179,100.000145,53.2120972,8.444168,7.424721,33,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,16.697,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:43,65.8823547,37.2549,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,41,35,118,30,112,111,111,1217.31287,19.0476189,22.2222214,12.6984119,19.0476189,18.2539635,39,41,40,39,41,800.0008,1400.00146,1400.00146,2800.003,16.8001423,4.0257616,1.02302909,0.418630481,100.0001,53.1004829,8.426456,7.4424324,33,300,405.000031,0,0,0,0,0,29,1022,8192,209.03125,7982.96875,2.551651,16.953001,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:48,64.70589,36.47059,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,41,35,118,30,112,111,111,1286.94,10.76923,15.3846149,9.230768,18.4615364,13.4615364,41,41,40,39,41,1100.00024,1900.00037,1900.00037,1900.00037,14.7965431,2.10035539,0.9368704,0.412946463,100.000023,53.20712,8.443378,7.42551041,33,300,405.000031,0,0,0,0,0,29,1018,8192,209.03125,7982.96875,2.551651,16.7470016,0,0,19,27282.8672,98.2836456,34,0.161166713,35,86.846,6.26303864
10/23/2022 11:46:53,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,41,34.5,118,30,112,111,111,1252.31909,21.53846,15.3846149,13.8461533,18.4615364,17.3076935,39,41,39,38,41,800.000244,2000.00061,2000.00061,2000.00061,14.6852274,2.015935,0.9232281,0.392696321,100.000031,52.4954,8.330437,7.538452,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,16.783,0,0,19,27282.8828,98.2883759,28,0.161167189,34,86.846,6.26303864
10/23/2022 11:46:58,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1223.93469,14.0625,9.375,18.75,15.625,14.453125,38,41,38,39,41,1600.0011,1600.0011,3300.00244,3300.00244,14.424016,1.75051045,0.9149694,0.39010033,100.000069,52.46117,8.325005,7.54388428,32,300,405.000031,0,0,0,0,0,29,1018,8192,209.03125,7982.96875,2.551651,17.1780014,0,0,19,27282.8828,98.2883759,28,0.161167189,34,86.846,6.26303864
10/23/2022 11:47:08,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1232.87671,15.3846149,18.4615364,15.3846149,15.3846149,16.1538486,38,40,39,38,40,800.000549,800.000549,800.000549,1800.00134,14.3692122,1.707217,0.914754868,0.39873448,100.000069,52.5364571,8.336952,7.53193665,33,300,405.000031,0,0,0,0,0,29,1025,8192,209.03125,7982.96875,2.551651,17.1880016,0,0,19,27282.8828,98.2883759,28,0.161167189,34,86.846,6.26303864
10/23/2022 11:47:14,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1217.31287,18.181818,21.2121181,25.757576,28.7878819,23.4848442,40,42,41,40,43,3300.00122,3300.00122,3300.00122,3300.00122,15.4865026,2.81678224,0.912578166,0.481701583,100.000038,52.43172,8.320332,7.54855728,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.8270016,0,0,19,27282.8828,98.2883759,28,0.161167189,34,86.846,6.26303864
10/23/2022 11:47:18,64.70589,36.47059,49.80392,49.80392,49.80392,49.80392,0.424000025,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,41,34.5,118,30,112,111,111,1223.93469,27.6923065,27.6923065,23.0769215,23.0769215,25.3846111,43,40,38,38,43,3000.002,3300.0022,3300.0022,1500.001,16.68061,3.86988425,1.00779748,0.5806158,100.000069,52.1076546,8.268906,7.599983,32,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,16.635,0,0,19,27282.8828,98.2883759,28,0.161167189,34,86.846,6.26303864
10/23/2022 11:47:24,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,41,34.5,118,30,112,111,111,1253.48193,28.7878819,33.3333321,18.181818,22.7272758,25.757576,42,43,41,42,43,3299.9978,3299.9978,3299.9978,3299.9978,16.7349434,3.96273136,0.994907,0.466445953,99.99993,52.7016029,8.363159,7.50572968,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,16.9170017,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:29,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1187.33508,18.4615364,24.6153831,6.153846,18.4615364,16.9230766,38,40,39,39,41,2400,2400,2400,2400,14.2092314,1.54532862,0.9028396,0.410465419,100,52.23405,8.288963,7.57992554,32,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.9380016,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:34,65.09804,36.8627472,49.80392,49.80392,49.80392,49.80392,0.36,1.016,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,41,34.5,119,30,112,111,111,1291.86609,16.9230766,24.6153831,12.3076916,23.0769215,19.2307644,40,47,40,39,47,3300.00122,3300.00122,3300.00122,3300.00122,16.8628349,4.10762358,0.989162862,0.517118633,100.000038,52.1878967,8.281639,7.58724976,32,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,16.523,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:39,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.4,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1221.71948,23.8095226,23.8095226,17.4603157,19.0476189,21.031744,39,46,40,39,45,3300.00171,3300.00171,3300.00171,1600.00085,15.6964245,2.95474482,0.9758098,0.4740571,100.000053,51.9450073,8.243095,7.62579346,32,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.9000015,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:44,64.70589,36.47059,49.80392,49.80392,49.80392,49.80392,0.488000035,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,45,34.5,118,30,112,111,111,1280.835,56.92308,61.53846,58.4615364,49.2307663,56.5384636,46,46,45,44,46,3299.99976,3299.99976,3299.99976,3299.99976,25.9699574,12.9644,1.14240456,0.9783825,99.99999,52.3017654,8.299709,7.56917953,32,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.969,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:49,61.9607849,32.9411774,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,40,34.5,118,30,112,111,111,1176.9834,16.6666679,25.757576,22.7272758,22.7272758,21.9697,39,41,39,38,41,1299.99988,2499.99976,2499.99976,2499.99976,14.3003607,1.606418,0.924729943,0.456208944,99.99999,52.46434,8.325508,7.54338074,32,300,405.000031,0,0,0,0,0,29,1025,8192,209.03125,7982.96875,2.551651,16.7960014,0,0,19,27282.8848,98.2885,34,0.161167249,34,86.846,6.26303864
10/23/2022 11:47:54,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.384,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.9760001,0.144000009,0.128,0.136,0.120000005,0.136,41,34.5,118,30,112,111,111,1212.938,10.9375,20.3125,15.625,15.625,15.625,38,43,39,39,43,2300.00049,3300.00073,3300.00073,3300.00073,16.56061,3.82394862,0.9823004,0.506208241,100.000023,52.30124,8.299625,7.56926346,32,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,16.7960014,0,0,19,27282.8926,98.28946,34,0.161167488,35,86.846,6.26303864
